,Student ID,student_name,gender,year,school_name,Average Reading Score,Average Maths Score
38,38,Kimberly Mercado,F,12,Huang High School,45,56
39,39,Gregory Roberts,M,9,Huang High School,66,98
40,40,Matthew Mayer,M,9,Huang High School,56,66
41,41,Jennifer Parks,F,11,Huang High School,45,43
42,42,John Carlson,M,9,Huang High School,63,59
43,43,Megan Roberts,F,9,Huang High School,59,89
44,44,Debra Flores,F,10,Huang High School,57,63
45,45,Heidi Jackson,F,11,Huang High School,74,55
46,46,Denise Bradford,F,12,Huang High School,58,92
47,47,Ellen Brown,F,11,Huang High School,44,50
48,48,Amy Perkins,F,9,Huang High School,39,72
49,49,Natalie Mitchell,F,10,Huang High School,65,39
50,50,Tiffany Gutierrez,F,10,Huang High School,70,47
51,51,Jennifer Hess,F,11,Huang High School,50,70
52,52,Christine Fletcher,F,12,Huang High School,66,55
53,53,Jon Smith,M,9,Huang High School,64,77
54,54,Tracey Yates,F,9,Huang High School,47,61
55,55,Jerry Gordon,M,12,Huang High School,91,86
56,56,Michael Cox,M,11,Huang High School,45,64
57,57,Madeline Snyder MD,F,9,Huang High School,99,91
58,58,Allison King,F,11,Huang High School,80,74
59,59,Theresa Meyer,F,9,Huang High School,67,53
60,60,Jared Wood,M,9,Huang High School,86,84
61,61,Eric Maynard,M,9,Huang High School,93,53
62,62,Mark Owens,M,11,Huang High School,81,62
63,63,Ronnie Conley,M,11,Huang High School,83,97
64,64,Kimberly Davis,F,12,Huang High School,42,67
65,65,Amy Mitchell,F,11,Huang High School,81,91
66,66,Mr. Dylan Taylor MD,M,10,Huang High School,66,54
67,67,Elizabeth Henderson,F,12,Huang High School,96,62
68,68,James Lopez,M,12,Huang High School,42,90
69,69,Michael Morgan,M,11,Huang High School,93,68
70,70,Angela Francis,F,12,Huang High School,39,74
71,71,Breanna Taylor,F,10,Huang High School,56,97
72,72,Jason Johnson,M,12,Huang High School,77,77
73,73,Kyle Martin,M,10,Huang High School,57,74
74,74,Scott Gill,M,10,Huang High School,74,45
75,75,Lisa Long,F,10,Huang High School,86,50
76,76,Erin Liu,F,9,Huang High School,84,75
77,77,Marcus Richards,M,12,Huang High School,57,53
78,78,Jason Thompson,M,12,Huang High School,62,87
79,79,Elizabeth Mckinney,F,9,Huang High School,98,78
80,80,Jessica Bailey,F,10,Huang High School,77,73
81,81,Lisa Frye,F,12,Huang High School,87,73
82,82,Lindsey Baker,F,11,Huang High School,54,98
83,83,Lisa Ramirez,F,12,Huang High School,58,68
84,84,Joseph Butler,M,10,Huang High School,70,68
85,85,Tina Lynch,F,10,Huang High School,67,42
86,86,Leah Benitez,F,10,Huang High School,94,50
87,87,Elizabeth Parker,F,10,Huang High School,71,57
88,88,Melissa Hunter,F,10,Huang High School,41,67
89,89,Miss Madison Everett,F,11,Huang High School,92,61
90,90,Ronald Garcia,M,9,Huang High School,80,47
91,91,Mark Cherry,M,10,Huang High School,68,39
92,92,Ryan Stokes,M,9,Huang High School,86,39
93,93,Isaiah Maldonado,M,10,Huang High School,62,47
94,94,Micheal Dennis,M,12,Huang High School,44,48
95,95,Kevin Martinez,M,11,Huang High School,43,89
96,96,Jessica Smith,F,9,Huang High School,55,49
97,97,Dawn Trujillo,F,11,Huang High School,49,89
98,98,Virginia Ramirez MD,F,10,Huang High School,66,95
99,99,Marc Hernandez,M,10,Huang High School,89,66
100,100,Jose Gonzalez,M,12,Huang High School,48,46
101,101,Jason Dennis,M,10,Huang High School,68,40
102,102,Gary Morris,M,11,Huang High School,82,99
103,103,William Mcdonald,M,12,Huang High School,43,51
104,104,Michael Savage,M,9,Huang High School,46,69
105,105,Alexis Todd,F,11,Huang High School,44,61
106,106,David Hansen,M,10,Huang High School,83,47
107,107,Steven Mendez,M,12,Huang High School,44,94
108,108,Ryan Lynch,M,12,Huang High School,76,59
109,109,Timothy Marks,M,9,Huang High School,51,45
110,110,Alexander Johns,M,10,Huang High School,95,65
111,111,Kenneth Chavez,M,9,Huang High School,81,84
112,112,Dennis Williams,M,10,Huang High School,56,52
113,113,Michael Roy,M,12,Huang High School,79,76
114,114,Richard Ryan,M,12,Huang High School,79,52
115,115,Matthew Reyes,M,12,Huang High School,84,68
116,116,Stephanie Ward,F,11,Huang High School,58,42
117,117,Christopher Tucker,M,10,Huang High School,85,66
118,118,Daniel Jones,M,12,Huang High School,95,61
119,119,Devin Craig,M,10,Huang High School,61,46
120,120,Erin Prince,F,12,Huang High School,73,95
121,121,Bernard Ortiz,M,11,Huang High School,51,87
122,122,Nicole Miller,F,10,Huang High School,46,62
123,123,Christopher Fritz,M,9,Huang High School,42,78
124,124,Bonnie Mckinney,F,11,Huang High School,91,77
125,125,Troy Nelson,M,11,Huang High School,82,46
126,126,Jennifer Lee,F,12,Huang High School,74,41
127,127,Ronald Ward,M,10,Huang High School,58,46
128,128,Nathaniel Hampton,M,11,Huang High School,87,71
129,129,Michael Travis,M,11,Huang High School,52,99
130,130,James Taylor,M,9,Huang High School,78,45
131,131,Thomas Strickland,M,9,Huang High School,46,69
132,132,Brittany Jackson,F,9,Huang High School,98,42
133,133,Marisa Lowe,F,9,Huang High School,40,76
134,134,Nicole Thomas,F,9,Huang High School,78,86
135,135,Matthew Rodriguez,M,12,Huang High School,53,41
136,136,Kent Fernandez,M,12,Huang High School,51,98
137,137,Michelle Martin,F,12,Huang High School,44,45
138,138,John Sparks,M,9,Huang High School,94,66
139,139,Ann Blake,F,11,Huang High School,74,68
140,140,Melissa Miller,F,12,Huang High School,87,47
141,141,Steven Houston,M,9,Huang High School,70,69
142,142,Kristen Anderson,F,11,Huang High School,75,67
143,143,Cory Jones,M,11,Huang High School,99,61
144,144,Jennifer Mora,F,10,Huang High School,83,53
145,145,Dennis Griffin,M,9,Huang High School,54,72
146,146,Darryl Brown,M,10,Huang High School,48,58
147,147,Martin Mosley,M,10,Huang High School,80,75
148,148,Joyce Diaz,F,10,Huang High School,50,81
149,149,Jeffrey Rose,M,12,Huang High School,68,89
150,150,Jamie Moreno,F,9,Huang High School,96,57
151,151,Catherine Williams,F,9,Huang High School,88,87
152,152,Lauren Byrd,F,11,Huang High School,84,73
153,153,Vanessa Frazier,F,10,Huang High School,58,40
154,154,Stephen Bryant,M,11,Huang High School,73,50
155,155,Lawrence Liu,M,12,Huang High School,68,78
156,156,Joseph Larsen,M,9,Huang High School,44,90
157,157,Susan Collier,F,11,Huang High School,83,94
158,158,Meagan Jensen,F,9,Huang High School,60,60
159,159,Julie Harper,F,12,Huang High School,71,41
160,160,Meghan Carroll,F,12,Huang High School,85,72
161,161,Wanda Horton,F,11,Huang High School,89,44
162,162,Mary Campbell,F,10,Huang High School,58,69
163,163,Jennifer Rodgers,F,11,Huang High School,98,39
164,164,Heather Cooper,F,12,Huang High School,79,50
165,165,Ryan Perez,M,11,Huang High School,53,87
166,166,Ryan Cox,M,12,Huang High School,87,97
167,167,Darren Zavala,M,10,Huang High School,52,97
168,168,Joseph Morales III,M,10,Huang High School,94,57
169,169,Aaron West,M,10,Huang High School,73,84
170,170,James Combs,M,10,Huang High School,86,75
171,171,Curtis Garner,M,10,Huang High School,64,88
172,172,Sarah Miller,F,10,Huang High School,51,89
173,173,Samantha Thomas,F,10,Huang High School,57,91
174,174,Robert Atkins,M,9,Huang High School,76,77
175,175,Alexis Crawford,M,10,Huang High School,74,69
176,176,Ryan Maddox,M,11,Huang High School,86,86
177,177,Jonathan Meyer,M,9,Huang High School,66,76
178,178,Donna Wagner,F,10,Huang High School,97,60
179,179,William Kennedy,M,11,Huang High School,58,65
180,180,Kimberly Martinez,F,11,Huang High School,71,50
181,181,Matthew Anderson,M,11,Huang High School,97,63
182,182,Kari Miller,F,9,Huang High School,81,96
183,183,Jenna Luna,F,9,Huang High School,99,94
184,184,Justin Contreras,M,12,Huang High School,57,54
185,185,Mary Fox,F,11,Huang High School,85,85
186,186,Joseph Perkins,M,10,Huang High School,94,62
187,187,Kelly Phillips,F,12,Huang High School,50,49
188,188,Justin Thornton,M,11,Huang High School,40,67
189,189,Joshua Barber,M,10,Huang High School,73,47
190,190,Travis Jackson,M,11,Huang High School,71,77
191,191,Jordan Beasley,F,10,Huang High School,48,48
192,192,Kevin Allen,M,12,Huang High School,88,81
193,193,Victoria Harris,F,11,Huang High School,86,48
194,194,Victoria Joseph,F,12,Huang High School,64,59
195,195,Brandy Marshall,F,11,Huang High School,52,39
196,196,Ryan Jimenez,M,11,Huang High School,94,79
197,197,Michael Chan,M,9,Huang High School,74,47
198,198,Christopher Phillips,M,9,Huang High School,96,96
199,199,Kevin Murphy,M,10,Huang High School,74,45
200,200,Vanessa Harper,F,12,Huang High School,47,61
201,201,James Ferguson,M,9,Huang High School,44,76
202,202,Carol Schroeder,F,12,Huang High School,44,63
203,203,Jerry Phillips,M,10,Huang High School,70,45
204,204,Kristin Wade,F,9,Huang High School,87,55
205,205,Jessica Warner,F,11,Huang High School,83,94
206,206,Dorothy Burke,F,11,Huang High School,92,87
207,207,Bethany Walter,F,9,Huang High School,63,67
208,208,Melissa Avery,F,9,Huang High School,59,50
209,209,Daniel Sutton,M,11,Huang High School,92,85
210,210,Ryan Johnson,M,9,Huang High School,42,77
211,211,Timothy Quinn,M,10,Huang High School,41,40
212,212,Zachary Allen,M,10,Huang High School,97,53
213,213,Lauren Schmitt,F,12,Huang High School,64,99
214,214,Stephanie Armstrong,F,11,Huang High School,80,87
215,215,Ruben Rivera,M,9,Huang High School,85,56
216,216,Patricia Petty,F,12,Huang High School,99,59
217,217,Joseph Jacobs,M,11,Huang High School,42,66
218,218,Bianca Wilson,F,11,Huang High School,93,39
219,219,Donald Perez,M,9,Huang High School,78,50
220,220,Curtis Gomez,M,9,Huang High School,85,51
221,221,Courtney Brown,F,9,Huang High School,79,91
222,222,Nicole Randall,F,9,Huang High School,48,44
223,223,Steven Lambert,M,11,Huang High School,85,91
224,224,Anthony Alvarez,M,10,Huang High School,79,53
225,225,Shawn Farrell,M,10,Huang High School,42,42
226,226,Jesus Schmidt,M,9,Huang High School,92,61
227,227,Laura Wright,F,12,Huang High School,90,60
228,228,Steven Smith,M,11,Huang High School,50,78
229,229,Norman Thompson,M,9,Huang High School,77,41
230,230,Anthony Wright,M,10,Huang High School,53,82
231,231,Kayla Watts,F,11,Huang High School,63,82
232,232,Aimee Johnson,F,9,Huang High School,81,71
233,233,Heidi Scott,F,12,Huang High School,80,53
234,234,Anthony Williams,M,10,Huang High School,93,85
235,235,Sarah Hill,F,12,Huang High School,41,57
236,236,Kim Wang,F,9,Huang High School,84,85
237,237,Beth Manning,F,11,Huang High School,99,61
238,238,Ryan Hanson,M,12,Huang High School,40,98
239,239,James Wood,M,9,Huang High School,95,40
240,240,Corey Greene,M,10,Huang High School,75,55
241,241,John Carter,M,11,Huang High School,85,54
242,242,Beth Garza,F,11,Huang High School,73,69
243,243,Karen Jones,F,9,Huang High School,41,63
244,244,Stephanie Poole,F,10,Huang High School,74,97
245,245,Lisa Brown,F,9,Huang High School,91,60
246,246,Paul Scott,M,10,Huang High School,62,97
247,247,Evelyn Buck,F,10,Huang High School,60,73
248,248,Terry Harrell,M,9,Huang High School,69,76
249,249,Leah Skinner,F,11,Huang High School,61,45
250,250,Anthony Mercado,M,11,Huang High School,80,97
251,251,Walter Kelly,M,9,Huang High School,52,82
252,252,Lori Evans,F,10,Huang High School,75,66
253,253,Ashley Jones,F,12,Huang High School,43,45
254,254,Amber Soto,F,9,Huang High School,96,66
255,255,Patrick Phillips,M,10,Huang High School,66,85
256,256,Linda Curry,F,11,Huang High School,86,90
257,257,Alexander Obrien,M,10,Huang High School,70,63
258,258,Vincent Garza,M,10,Huang High School,69,48
259,259,Terry Marsh,M,11,Huang High School,69,76
260,260,Angela Perkins DVM,F,11,Huang High School,51,90
261,261,Peter Hampton,M,9,Huang High School,62,68
262,262,David Cross,M,11,Huang High School,90,71
263,263,Clinton Ortega,M,10,Huang High School,56,59
264,264,Jamie Escobar,F,10,Huang High School,88,57
265,265,Sandra Mason,F,12,Huang High School,43,50
266,266,Craig Cole,M,12,Huang High School,56,54
267,267,Lisa Warren,F,12,Huang High School,85,93
268,268,Maria Howard,F,9,Huang High School,77,98
269,269,Michael Porter,M,11,Huang High School,62,87
270,270,John Turner,M,11,Huang High School,39,74
271,271,Timothy Wang,M,12,Huang High School,64,93
272,272,Amanda Taylor,F,9,Huang High School,99,53
273,273,Karen Mckenzie,F,9,Huang High School,79,91
274,274,Brandon Miles,M,11,Huang High School,80,96
275,275,Christina Whitaker,F,12,Huang High School,64,61
276,276,Nicole Peterson,F,9,Huang High School,40,66
277,277,Ashley Moore,F,9,Huang High School,93,82
278,278,Todd Carrillo,M,10,Huang High School,76,82
279,279,Robert Williams,M,10,Huang High School,72,73
280,280,Ashley Jones,F,9,Huang High School,46,55
281,281,Vanessa Parker,F,9,Huang High School,39,91
282,282,Robert Carlson,M,12,Huang High School,55,43
283,283,Jared Lewis,M,10,Huang High School,52,48
284,284,Christopher Hernandez,M,10,Huang High School,73,51
285,285,Kimberly Harris,F,9,Huang High School,84,88
286,286,Katrina Hill,F,10,Huang High School,67,92
287,287,Heather Lee,F,9,Huang High School,89,87
288,288,Donald Harmon,M,11,Huang High School,77,81
289,289,Elizabeth Sanders,F,10,Huang High School,56,85
290,290,Richard Ramsey,M,12,Huang High School,79,87
291,291,Carmen Johnson,F,12,Huang High School,50,63
292,292,Elaine Osborne,F,10,Huang High School,43,92
293,293,Kent Burns,M,9,Huang High School,81,86
294,294,Meagan Smith,F,11,Huang High School,39,66
295,295,Craig Hahn,M,9,Huang High School,50,73
296,296,Jeremy Wu,M,11,Huang High School,42,94
297,297,Aaron Rodriguez,M,11,Huang High School,77,83
298,298,Matthew Taylor,M,10,Huang High School,46,48
299,299,Diana Evans,F,11,Huang High School,78,82
300,300,Michele Pearson,F,12,Huang High School,54,83
301,301,Erik Wagner,M,12,Huang High School,65,89
302,302,Maria Welch,F,12,Huang High School,67,55
303,303,Debra Martin,F,12,Huang High School,86,69
304,304,Devon Conner,M,9,Huang High School,69,96
305,305,Christine Patel,F,9,Huang High School,96,95
306,306,David Lopez,M,9,Huang High School,49,81
307,307,Nathan Baird,M,11,Huang High School,87,43
308,308,Samuel Castillo,M,11,Huang High School,93,86
309,309,Rebecca Payne,F,11,Huang High School,63,91
310,310,Carl Johnson,M,10,Huang High School,64,56
311,311,William Adams,M,12,Huang High School,94,45
312,312,Paula Harrison,F,11,Huang High School,65,57
313,313,Wayne Atkinson,M,11,Huang High School,93,55
314,314,Lindsay Frank,F,9,Huang High School,55,73
315,315,Jose Garcia,M,10,Huang High School,94,88
316,316,Andrew Gaines,M,12,Huang High School,73,71
317,317,Rachael Liu,F,10,Huang High School,41,40
318,318,Donald Lewis,M,11,Huang High School,67,62
319,319,Shane Edwards,M,9,Huang High School,73,70
320,320,Todd Levy,M,12,Huang High School,90,62
321,321,Joanna Moore,F,10,Huang High School,71,64
322,322,Michael Lewis,M,9,Huang High School,40,44
323,323,James Robinson,M,9,Huang High School,60,86
324,324,Jeffrey Arellano,M,9,Huang High School,80,65
325,325,Heather Allen MD,F,11,Huang High School,95,43
326,326,Lori Villarreal,F,9,Huang High School,60,93
327,327,Robert Harper,M,12,Huang High School,62,54
328,328,Karen Villegas,F,9,Huang High School,71,80
329,329,Tracey Crane,F,9,Huang High School,91,87
330,330,Elizabeth Allen,F,9,Huang High School,50,69
331,331,Jorge Lynn,M,11,Huang High School,76,48
332,332,Harold Gordon,M,11,Huang High School,96,83
333,333,Nicholas Mcclain,M,9,Huang High School,46,47
334,334,Tanya Harris,F,11,Huang High School,47,99
335,335,Amy Smith,F,12,Huang High School,51,79
336,336,Kathy Morse,F,11,Huang High School,61,44
337,337,Andrea Wood,F,10,Huang High School,49,54
338,338,Maureen Massey,F,9,Huang High School,83,62
339,339,Daniel Smith,M,11,Huang High School,96,44
340,340,Alexandra Smith,F,11,Huang High School,80,40
341,341,Caitlin Hall,F,11,Huang High School,79,53
342,342,Jose Carlson,M,11,Huang High School,45,57
343,343,Deborah Macias,F,9,Huang High School,52,89
344,344,Dwayne Rice,M,11,Huang High School,43,68
345,345,Matthew Harris,M,10,Huang High School,62,78
346,346,Eric Bowman,M,9,Huang High School,75,97
347,347,Samuel Ali,M,9,Huang High School,96,79
348,348,David Miller,M,12,Huang High School,67,73
349,349,James Moreno,M,11,Huang High School,47,56
350,350,Brooke Austin,F,11,Huang High School,83,63
351,351,Alisha Martin,F,10,Huang High School,97,89
352,352,Neil Rodriguez,M,10,Huang High School,53,54
353,353,Gary Williams,M,10,Huang High School,65,57
354,354,Michael Pittman,M,12,Huang High School,58,65
355,355,Stephanie Palmer,F,10,Huang High School,97,52
356,356,Christine Perry,F,11,Huang High School,74,67
357,357,Suzanne David,F,10,Huang High School,66,60
358,358,Amber Smith,F,12,Huang High School,49,74
359,359,Ryan Jones,M,9,Huang High School,83,83
360,360,Emily Ford,F,9,Huang High School,60,78
361,361,Kelsey Shea,F,12,Huang High School,60,52
362,362,Katherine Wallace,F,12,Huang High School,89,61
363,363,Erica Conway,F,11,Huang High School,72,64
364,364,Tyler Parker,M,11,Huang High School,70,41
365,365,Michael Parks,M,9,Huang High School,77,95
366,366,Elizabeth Hunt,F,12,Huang High School,52,49
367,367,Grant Jackson,M,11,Huang High School,88,47
368,368,Daniel Matthews,M,9,Huang High School,74,54
369,369,Diana Silva,F,9,Huang High School,39,77
370,370,Frank Garza,M,11,Huang High School,84,52
371,371,Terri Fischer,F,10,Huang High School,50,94
372,372,Robert Goodwin,M,12,Huang High School,45,60
373,373,Bobby Ruiz,M,10,Huang High School,53,96
374,374,Stephanie Taylor,F,12,Huang High School,85,74
375,375,Erin Hill,F,10,Huang High School,61,44
376,376,Erin Cohen,F,10,Huang High School,73,95
377,377,Jeffrey Morris,M,9,Huang High School,58,81
378,378,Elizabeth Simpson,F,10,Huang High School,70,76
379,379,Jennifer Davis,F,11,Huang High School,68,95
380,380,Rachel Burton,F,9,Huang High School,69,65
381,381,Joseph Wilkins,M,9,Huang High School,68,76
382,382,Lawrence Montgomery,M,11,Huang High School,78,96
383,383,Patricia Howard,F,11,Huang High School,92,40
384,384,Jessica Hanson,F,11,Huang High School,81,40
385,385,Donna Dean,F,10,Huang High School,50,74
386,386,Edwin Reid,M,9,Huang High School,89,73
387,387,Jodi Brown,F,12,Huang High School,88,76
388,388,Elizabeth Richard,F,9,Huang High School,52,96
389,389,Aaron Martinez,M,9,Huang High School,75,65
390,390,Stephen Fischer,M,9,Huang High School,78,45
391,391,Diana Reeves,F,11,Huang High School,44,75
392,392,Jeffrey Eaton,M,10,Huang High School,96,44
393,393,Evelyn Miller,F,9,Huang High School,76,70
394,394,Christopher Kidd,M,9,Huang High School,62,67
395,395,Sarah Adams,F,9,Huang High School,84,45
396,396,Melinda Nelson,F,12,Huang High School,41,68
397,397,Kevin Brooks,M,11,Huang High School,55,59
398,398,John Bowen,M,12,Huang High School,50,55
399,399,Tracie Abbott,F,12,Huang High School,79,47
400,400,Allen Foster,M,11,Huang High School,87,95
401,401,Kathryn Elliott,F,12,Huang High School,69,69
402,402,Christopher Walker,M,12,Huang High School,93,96
403,403,Cynthia Martin,F,11,Huang High School,55,86
404,404,Amanda Bennett,F,11,Huang High School,70,49
405,405,Dennis Padilla,M,11,Huang High School,71,63
406,406,Antonio Miller,M,11,Huang High School,94,50
407,407,Melissa Trevino,F,11,Huang High School,62,40
408,408,Andrew King,M,10,Huang High School,90,63
409,409,John Martinez,M,11,Huang High School,70,51
410,410,Lauren King,F,9,Huang High School,67,75
411,411,Stephanie Mercado,F,9,Huang High School,93,65
412,412,William Smith,M,11,Huang High School,70,50
413,413,Jonathan Marshall,M,12,Huang High School,75,71
414,414,Luke Lowery MD,M,10,Huang High School,93,48
415,415,Emily Reynolds,F,9,Huang High School,89,43
416,416,Kevin Mclean,M,9,Huang High School,80,75
417,417,Elizabeth Taylor,F,11,Huang High School,84,91
418,418,Pamela Rivas,F,11,Huang High School,74,42
419,419,Tammy Martin,F,9,Huang High School,95,56
420,420,Holly Watkins,F,9,Huang High School,94,48
421,421,Patrick Chen,M,9,Huang High School,52,63
422,422,Michelle Griffin,F,10,Huang High School,52,61
423,423,Theresa Andrews,F,12,Huang High School,65,85
424,424,Alan Henry,M,9,Huang High School,60,44
425,425,Larry Hines,M,10,Huang High School,94,52
426,426,Travis Frazier,M,12,Huang High School,86,61
427,427,Julie Jones,F,12,Huang High School,56,40
428,428,Natalie Reynolds,F,10,Huang High School,62,82
429,429,Jessica Cohen,F,10,Huang High School,89,62
430,430,Jason Robinson,M,12,Huang High School,49,76
431,431,Heather Palmer,F,9,Huang High School,84,68
432,432,Emily Cardenas MD,F,10,Huang High School,82,81
433,433,Scott Glover,M,12,Huang High School,92,53
434,434,Jacqueline White,F,12,Huang High School,57,63
435,435,Mrs. Elizabeth Espinoza DDS,F,9,Huang High School,82,97
436,436,Toni Porter,F,11,Huang High School,39,96
437,437,Jennifer Mejia,F,11,Huang High School,78,78
438,438,Brenda Peterson,F,10,Huang High School,77,75
439,439,Paul Hamilton,M,9,Huang High School,89,93
440,440,Patricia Nguyen,F,11,Huang High School,63,88
441,441,James Ho,M,12,Huang High School,75,69
442,442,Elizabeth Cohen,F,10,Huang High School,59,74
443,443,Stephanie Lane,F,9,Huang High School,85,66
444,444,Dawn Rhodes,F,12,Huang High School,57,42
445,445,Theresa Robinson,F,10,Huang High School,85,58
446,446,Breanna Mosley,F,9,Huang High School,90,47
447,447,Carmen Wilson,F,10,Huang High School,95,40
448,448,Ian Brown,M,9,Huang High School,76,69
449,449,Kathleen Matthews,F,11,Huang High School,82,42
450,450,Bryan Diaz,M,11,Huang High School,42,61
451,451,Gina Sweeney,F,11,Huang High School,42,56
452,452,Alan Garcia,M,10,Huang High School,93,53
453,453,Erik Wheeler,M,10,Huang High School,39,84
454,454,Stephanie Robles,F,9,Huang High School,70,98
455,455,Samantha Hanson,F,9,Huang High School,50,44
456,456,Christopher Williams,M,11,Huang High School,46,63
457,457,Stephanie Hart,F,12,Huang High School,73,50
458,458,Mrs. Lisa Becker,F,11,Huang High School,87,87
459,459,Bianca Johnson,F,9,Huang High School,96,95
460,460,Amy Steele,F,12,Huang High School,59,96
461,461,Gina Contreras,F,9,Huang High School,59,62
462,462,Jaime Alexander,F,10,Huang High School,99,70
463,463,Kevin Coleman,M,12,Huang High School,78,79
464,464,Caitlin Williams,F,10,Huang High School,59,79
465,465,Joseph Lloyd,M,9,Huang High School,42,59
466,466,Carrie Hernandez,F,11,Huang High School,86,97
467,467,Mr. Travis Young,M,10,Huang High School,98,63
468,468,Francis Wright,M,12,Huang High School,49,91
469,469,Joel Harper,M,9,Huang High School,52,96
470,470,Eduardo Park,M,9,Huang High School,85,77
471,471,Melissa Yoder,F,10,Huang High School,57,50
472,472,Donna Campbell,F,9,Huang High School,94,77
473,473,Connie Delacruz,F,9,Huang High School,76,93
474,474,Luis Parker,M,9,Huang High School,97,59
475,475,Pamela Watts,F,11,Huang High School,44,97
476,476,Lindsey Mitchell,F,10,Huang High School,98,84
477,477,Brenda Price,F,10,Huang High School,58,96
478,478,Joseph Howard,M,10,Huang High School,49,49
479,479,Amy Evans,F,10,Huang High School,39,59
480,480,Paula Fernandez DVM,F,9,Huang High School,69,84
481,481,Amber Cunningham,F,11,Huang High School,41,59
482,482,Preston Wheeler,M,10,Huang High School,51,74
483,483,James Lopez,M,9,Huang High School,97,44
484,484,Chad Drake,M,11,Huang High School,66,74
485,485,Samuel Blackburn,M,11,Huang High School,53,92
486,486,Shawn Nielsen,M,9,Huang High School,45,44
487,487,Eric Perez,M,10,Huang High School,83,93
488,488,Kevin Montgomery,M,12,Huang High School,88,58
489,489,Terry Thomas,M,9,Huang High School,72,95
490,490,Kim Meyer,F,9,Huang High School,54,69
491,491,Michael Townsend,M,10,Huang High School,68,80
492,492,Ronnie Rodriguez,M,10,Huang High School,49,96
493,493,Savannah Smith,F,10,Huang High School,89,91
494,494,Shane Nguyen,M,10,Huang High School,92,97
495,495,Michael Brown,M,12,Huang High School,77,39
496,496,Robert Young,M,9,Huang High School,74,90
497,497,Daniel Griffin,M,9,Huang High School,83,57
498,498,James Johnson,M,11,Huang High School,85,96
499,499,Mary Cox,F,10,Huang High School,60,85
500,500,Tina Aguirre,F,10,Huang High School,99,74
501,501,Jillian Mcdonald,F,9,Huang High School,94,62
502,502,Matthew Branch,M,10,Huang High School,44,76
503,503,Christopher Jordan,M,11,Huang High School,99,46
504,504,Victor Mcguire,M,11,Huang High School,44,42
505,505,Erin Arnold,F,10,Huang High School,99,62
506,506,Nicholas Wu,M,10,Huang High School,44,81
507,507,Kristen Wilson,F,12,Huang High School,77,96
508,508,Morgan Moore,F,10,Huang High School,52,68
509,509,Stephen Smith,M,9,Huang High School,62,51
510,510,Jeremy Romero,M,10,Huang High School,98,53
511,511,Julie Bush,F,9,Huang High School,41,86
512,512,Brittany Taylor,F,11,Huang High School,79,98
513,513,James Kim,M,10,Huang High School,89,93
514,514,Ashley Roberts,F,10,Huang High School,89,93
515,515,Brandon Johnson,M,10,Huang High School,98,66
516,516,David Davenport,M,12,Huang High School,83,91
517,517,Mark Washington,M,9,Huang High School,56,40
518,518,Alicia Marshall,F,9,Huang High School,51,79
519,519,Barbara Santana,F,12,Huang High School,47,40
520,520,Samantha Parker,F,10,Huang High School,58,97
521,521,Joseph Walters,M,11,Huang High School,97,94
522,522,Michael Zamora,M,11,Huang High School,77,69
523,523,Kyle Cobb,M,11,Huang High School,44,70
524,524,Jill Clark,F,10,Huang High School,99,94
525,525,Sarah Warren,F,11,Huang High School,68,78
526,526,Jennifer Robinson,F,10,Huang High School,46,89
